Timestamp,BR,RtoR
25/05/2019 16:08:04.444,1,-0.324
25/05/2019 16:08:04.500,1,-0.324
25/05/2019 16:08:04.556,1,-0.324
25/05/2019 16:08:04.612,1,-0.324
25/05/2019 16:08:04.668,1,-0.324
25/05/2019 16:08:04.724,1,0.204
25/05/2019 16:08:04.780,1,0.204
25/05/2019 16:08:04.836,1,0.204
25/05/2019 16:08:04.892,1,0.204
25/05/2019 16:08:04.948,0,-0.316
25/05/2019 16:08:05.004,0,-0.316
25/05/2019 16:08:05.060,0,-0.316
25/05/2019 16:08:05.116,0,-0.316
25/05/2019 16:08:05.172,0,-0.316
25/05/2019 16:08:05.228,0,0.256
25/05/2019 16:08:05.284,0,0.256
25/05/2019 16:08:05.340,0,0.256
25/05/2019 16:08:05.444,0,0.256
25/05/2019 16:08:05.500,0,-0.328
25/05/2019 16:08:05.556,0,-0.328
25/05/2019 16:08:05.612,0,-0.328
25/05/2019 16:08:05.668,0,-0.328
25/05/2019 16:08:05.724,0,-0.328
25/05/2019 16:08:05.780,1,0.1
25/05/2019 16:08:05.836,11,0.1
25/05/2019 16:08:05.892,41,0.1
25/05/2019 16:08:05.948,75,0.1
25/05/2019 16:08:06.004,119,-0.216
25/05/2019 16:08:06.060,153,-0.216
25/05/2019 16:08:06.116,188,-0.216
25/05/2019 16:08:06.172,213,-0.216
25/05/2019 16:08:06.228,225,-0.216
25/05/2019 16:08:06.284,232,-0.216
25/05/2019 16:08:06.340,231,-0.216
25/05/2019 16:08:06.396,221,-0.216
25/05/2019 16:08:06.444,207,-0.216
25/05/2019 16:08:06.500,191,-0.216
25/05/2019 16:08:06.556,169,-0.216
25/05/2019 16:08:06.612,148,-0.216
25/05/2019 16:08:06.668,123,-0.216
25/05/2019 16:08:06.724,98,0.804
25/05/2019 16:08:06.780,79,0.804
25/05/2019 16:08:06.836,61,0.804
25/05/2019 16:08:06.892,48,0.804
25/05/2019 16:08:06.948,36,0.804
25/05/2019 16:08:07.004,31,0.804
25/05/2019 16:08:07.060,33,0.804
25/05/2019 16:08:07.116,48,0.804
25/05/2019 16:08:07.172,69,0.804
25/05/2019 16:08:07.228,106,0.804
25/05/2019 16:08:07.284,150,0.804
25/05/2019 16:08:07.340,185,0.804
25/05/2019 16:08:07.396,216,0.804
25/05/2019 16:08:07.444,231,0.804
25/05/2019 16:08:07.500,232,-0.724
25/05/2019 16:08:07.556,217,-0.724
25/05/2019 16:08:07.612,197,-0.724
25/05/2019 16:08:07.668,165,-0.724
25/05/2019 16:08:07.724,137,-0.724
25/05/2019 16:08:07.780,106,-0.724
25/05/2019 16:08:07.836,77,-0.724
25/05/2019 16:08:07.892,57,-0.724
25/05/2019 16:08:07.948,42,-0.724
25/05/2019 16:08:08.004,35,-0.724
25/05/2019 16:08:08.060,34,-0.724
25/05/2019 16:08:08.116,39,-0.724
25/05/2019 16:08:08.172,45,-0.724
25/05/2019 16:08:08.228,53,0.716
25/05/2019 16:08:08.284,61,0.716
25/05/2019 16:08:08.340,68,0.716
25/05/2019 16:08:08.396,73,0.716
25/05/2019 16:08:08.444,75,0.716
25/05/2019 16:08:08.500,70,0.716
25/05/2019 16:08:08.556,61,0.716
25/05/2019 16:08:08.612,46,0.716
25/05/2019 16:08:08.668,27,0.716
25/05/2019 16:08:08.724,10,0.716
25/05/2019 16:08:08.780,-11,0.716
25/05/2019 16:08:08.836,-28,0.716
25/05/2019 16:08:08.892,-48,0.716
25/05/2019 16:08:08.948,-66,-0.74
25/05/2019 16:08:09.004,-80,-0.74
25/05/2019 16:08:09.060,-95,-0.74
25/05/2019 16:08:09.116,-105,-0.74
25/05/2019 16:08:09.172,-117,-0.74
25/05/2019 16:08:09.228,-125,-0.74
25/05/2019 16:08:09.284,-128,-0.74
