Timestamp,BR,RtoR
25/05/2019 14:12:20.444,2,0
25/05/2019 14:12:20.500,2,0
25/05/2019 14:12:20.556,2,0
25/05/2019 14:12:20.612,2,0
25/05/2019 14:12:20.668,1,0
25/05/2019 14:12:20.724,1,-0.492
25/05/2019 14:12:20.780,1,-0.492
25/05/2019 14:12:20.836,1,-0.492
25/05/2019 14:12:20.892,0,-0.492
25/05/2019 14:12:20.948,0,0.248
25/05/2019 14:12:21.004,1,0.248
25/05/2019 14:12:21.060,1,0.248
25/05/2019 14:12:21.116,1,0.248
25/05/2019 14:12:21.172,1,0.248
25/05/2019 14:12:21.228,1,-0.276
25/05/2019 14:12:21.284,1,-0.276
25/05/2019 14:12:21.340,1,-0.276
25/05/2019 14:12:21.444,1,-0.276
25/05/2019 14:12:21.500,0,0.216
25/05/2019 14:12:21.556,0,0.216
25/05/2019 14:12:21.612,0,0.216
25/05/2019 14:12:21.668,0,0.216
25/05/2019 14:12:21.724,0,0.216
25/05/2019 14:12:21.780,0,-0.372
25/05/2019 14:12:21.836,0,-0.372
25/05/2019 14:12:21.892,0,-0.372
25/05/2019 14:12:21.948,0,-0.372
25/05/2019 14:12:22.004,0,0.34
25/05/2019 14:12:22.060,0,0.34
25/05/2019 14:12:22.116,0,0.34
25/05/2019 14:12:22.172,0,0.34
25/05/2019 14:12:22.228,0,0.34
25/05/2019 14:12:22.284,0,0.34
25/05/2019 14:12:22.340,0,0.34
25/05/2019 14:12:22.396,2,0.34
25/05/2019 14:12:22.444,20,0.34
25/05/2019 14:12:22.500,49,0.34
25/05/2019 14:12:22.556,94,0.34
25/05/2019 14:12:22.612,133,0.34
25/05/2019 14:12:22.668,178,0.34
25/05/2019 14:12:22.724,215,0.34
25/05/2019 14:12:22.780,242,0.34
25/05/2019 14:12:22.836,267,0.34
25/05/2019 14:12:22.892,283,0.34
25/05/2019 14:12:22.948,296,0.34
25/05/2019 14:12:23.004,304,0.34
25/05/2019 14:12:23.060,307,0.34
25/05/2019 14:12:23.116,307,0.34
25/05/2019 14:12:23.172,304,0.34
25/05/2019 14:12:23.228,298,0.34
25/05/2019 14:12:23.284,289,0.34
25/05/2019 14:12:23.340,282,0.34
25/05/2019 14:12:23.396,273,0.34
25/05/2019 14:12:23.444,265,0.34
25/05/2019 14:12:23.500,258,0.34
25/05/2019 14:12:23.556,249,0.34
25/05/2019 14:12:23.612,243,0.34
25/05/2019 14:12:23.668,234,0.34
25/05/2019 14:12:23.724,227,0.34
25/05/2019 14:12:23.780,217,0.34
25/05/2019 14:12:23.836,206,0.34
25/05/2019 14:12:23.892,196,0.34
25/05/2019 14:12:23.948,183,0.34
25/05/2019 14:12:24.004,171,0.34
25/05/2019 14:12:24.060,157,0.34
25/05/2019 14:12:24.116,143,0.34
25/05/2019 14:12:24.172,130,0.34
25/05/2019 14:12:24.228,117,0.34
25/05/2019 14:12:24.284,105,0.34
25/05/2019 14:12:24.340,91,0.34
25/05/2019 14:12:24.396,77,0.34
25/05/2019 14:12:24.444,67,-2.296
